日本語,日本語 ※ふりがなつき,English,例文 example sentence,例文 example sentence　※ふりがなつき,English
雑談,雑談,n. small talk, chat,まだ10分ぐらいあるので、ちょっと雑談でもしましょうか。,まだ10分ぐらいあるので、ちょっと雑談でもしましょうか。,We still have about 10 minutes left, shall we just chat? 
段階,段階,n. phase,今は、テストの準備をしている段階です。,今は、テストの準備をしている段階です。,I'm in the preparation phase of the test now.
既存,既存,n. existing,既存のソースを見て、考えてみます。,既存のソースを見て、考えてみます。,I'll check the existing sources and then think about it.
事例,事例,n. case,先週、それに似た事例がありました。,先週、それに似た事例がありました。,There was a similar case last week.
品質,品質,n. quality,リリースを早めると、QAの品質を保つのは難しくなると思います。,リリースを早めると、QAの品質を保つのは難しくなると思います。,I think it'll be difficult to maintain the QA quality if we move the release date up.
処理,処理,n.  processing,返金処理は、いつ完了しそうですか。,返金処理は、いつ完了しそうですか。,When do you think we'll finish processing the refund?
障害,障害,n. fault, system error,最近、障害が多く発生している。,最近、障害が多く発生している。,A lot of system errors have been happening these days.
クリティカル,クリティカル,n-adj. critical, specially important,今のところ、クリティカルな障害は起きてません。,今のところ、クリティカルな障害は起きてません。,There are no critical failures yet. 
挙動,挙動,n.  behavior, acting,ちょっと待って、Chromeの挙動がおかしい。,ちょっと待って、Chromeの挙動がおかしい。,Hold on, Chrome is acting weird. 
やつ,やつ,n. thing ※casual,来週QAする予定のやつ、ある？,来週QAする予定のやつ、ある？,Is there something you plan to do QA for next week? 
作成する,作成する,v. make ,リリースまでのスケジュールを作成したので、まだ見てない人は、今日中に確認してください,リリースまでのスケジュールを作成したので、まだ見てない人は、今日中に確認してください,I've made a schedule for the next release, so please check it by the end of today if you haven't.
設計する,設計する,v.  plan, design, layout ,ABテストを設計するときの注意点については、ここを読んどいてください。,ABテストを設計するときの注意点については、ここを読んどいてください。,Please check here for the important points about planning AB tests.
展開する,展開する,v. expand, be open to,この資料は、全メンバーに展開されています,この資料は、全メンバーに展開されています,This document is now open to everyone.
詰める,内容を詰める,v. decide details,この件、もう少し詰めた方がいいですね。,この件、もう少し詰めた方がいいですね。,We should think about this more in order to decide the details. 
任せる,任せる,v. delegate, leave something with someone,このプロジェクトは、佐藤さんに任せました,このプロジェクトは、佐藤さんに任せました,I've delegated this project to Sato-san.
見積もる,見積もる,v. estimate,見積もると、だいたいトータルで2ヶ月かかります。,見積もると、だいたいトータルで2ヶ月かかります。,I estimate it will take about 2 months in total
紐づく           ,紐づく           ,v. link,この情報は、お客様IDに紐づいています,この情報は、お客様IDに紐づいています,This information is linked to customer ID.
感じ,感じ,n. like [something],こんな感じです。,こんな感じです。,It's like this.
以外,以外,n. besides, except,ここに書いてあるトピック以外に何か話したいことありますか。,ここに書いてあるトピック以外に何か話したいことありますか。,Is there anything else you want to talk about besides the topics written here?
同時に,同時に,adv. at the same time, simultaneously ,同時に担当できるプロジェクトの数には限界があります,同時に担当できるプロジェクトの数には限界があります,There's a limit to the number of projects we can handle at the same time.
